ENSG00000002834	LASP1
ENSG00000005073	HOXA11
ENSG00000005339	CREBBP
ENSG00000006468	ETV1
ENSG00000007237	GAS7
ENSG00000007312	CD79B
ENSG00000009709	PAX7
ENSG00000012048	BRCA1
ENSG00000015285	WAS
ENSG00000018408	WWTR1
ENSG00000019582	CD74
ENSG00000023445	BIRC3
ENSG00000026103	FAS
ENSG00000029725	RABEP1
ENSG00000039068	CDH1
ENSG00000047410	TPR
ENSG00000047932	GOPC
ENSG00000047936	ROS1
ENSG00000048462	TNFRSF17
ENSG00000049540	ELN
ENSG00000051108	HERPUD1
ENSG00000054118	THRAP3
ENSG00000055609	KMT2C
ENSG00000057657	PRDM1
ENSG00000064012	CASP8
ENSG00000064933	PMS1
ENSG00000065559	MAP2K4
ENSG00000066455	GOLGA5
ENSG00000066468	FGFR2
ENSG00000067082	KLF6
ENSG00000067842	ATP2B3
ENSG00000067955	CBFB
ENSG00000068078	FGFR3
ENSG00000068323	TFE3
ENSG00000069399	BCL3
ENSG00000070371	CLTCL1
ENSG00000070404	FSTL3
ENSG00000071564	TCF3
ENSG00000072274	TFRC
ENSG00000072364	AFF4
ENSG00000072694	FCGR2B
ENSG00000073584	SMARCE1
ENSG00000073614	KDM5A
ENSG00000073921	PICALM
ENSG00000076242	MLH1
ENSG00000076685	NT5C2
ENSG00000077150	NFKB2
ENSG00000077782	FGFR1
ENSG00000078399	HOXA9
ENSG00000078403	MLLT10
ENSG00000078674	PCM1
ENSG00000079102	RUNX1T1
ENSG00000079432	CIC
ENSG00000079805	DNM2
ENSG00000080824	HSP90AA1
ENSG00000081237	PTPRC
ENSG00000082805	ERC1
ENSG00000082898	XPO1
ENSG00000083093	PALB2
ENSG00000083168	KAT6A
ENSG00000083799	CYLD
ENSG00000084676	NCOA1
ENSG00000085224	ATRX
ENSG00000085276	MECOM
ENSG00000085832	EPS15
ENSG00000087460	GNAS
ENSG00000088038	CNOT3
ENSG00000088256	GNA11
ENSG00000089280	FUS
ENSG00000091483	FH
ENSG00000092820	EZR
ENSG00000095002	MSH2
ENSG00000096384	HSP90AB1
ENSG00000096968	JAK2
ENSG00000097007	ABL1
ENSG00000099956	SMARCB1
ENSG00000100105	PATZ1
ENSG00000100311	PDGFB
ENSG00000100345	MYH9
ENSG00000100393	EP300
ENSG00000100503	NIN
ENSG00000100697	DICER1
ENSG00000100721	TCL1A
ENSG00000100814	CCNB1IP1
ENSG00000100815	TRIP11
ENSG00000101972	STAG2
ENSG00000102034	ELF4
ENSG00000102145	GATA1
ENSG00000103126	AXIN1
ENSG00000103197	TSC2
ENSG00000103522	IL21R
ENSG00000104320	NBN
ENSG00000104419	NDRG1
ENSG00000104517	UBR5
ENSG00000104884	ERCC2
ENSG00000104903	LYL1
ENSG00000105173	CCNE1
ENSG00000105221	AKT2
ENSG00000105369	CD79A
ENSG00000105568	PPP2R1A
ENSG00000105619	TFPT
ENSG00000105639	JAK3
ENSG00000105656	ELL
ENSG00000105662	CRTC1
ENSG00000105810	CDK6
ENSG00000105976	MET
ENSG00000106031	HOXA13
ENSG00000106462	EZH2
ENSG00000107485	GATA3
ENSG00000107779	BMPR1A
ENSG00000107807	TLX1
ENSG00000107882	SUFU
ENSG00000108091	CCDC6
ENSG00000108292	MLLT6
ENSG00000108375	RNF43
ENSG00000108654	DDX5
ENSG00000108821	COL1A1
ENSG00000108924	HLF
ENSG00000108946	PRKAR1A
ENSG00000108953	YWHAE
ENSG00000109132	PHOX2B
ENSG00000109220	CHIC2
ENSG00000109471	IL2
ENSG00000109670	FBXW7
ENSG00000109685	WHSC1
ENSG00000109906	ZBTB16
ENSG00000110092	CCND1
ENSG00000110367	DDX6
ENSG00000110395	CBL
ENSG00000110619	CARS
ENSG00000110713	NUP98
ENSG00000110777	POU2AF1
ENSG00000110987	BCL7A
ENSG00000111252	SH2B3
ENSG00000111275	ALDH2
ENSG00000112039	FANCE
ENSG00000112081	SRSF3
ENSG00000112561	TFEB
ENSG00000112576	CCND3
ENSG00000113263	ITK
ENSG00000113594	LIFR
ENSG00000113721	PDGFRB
ENSG00000113916	BCL6
ENSG00000114354	TFG
ENSG00000114423	CBLB
ENSG00000114861	FOXP1
ENSG00000114999	TTL
ENSG00000115524	SF3B1
ENSG00000116044	NFE2L2
ENSG00000116062	MSH6
ENSG00000116128	BCL9
ENSG00000116132	PRRX1
ENSG00000116251	RPL22
ENSG00000116560	SFPQ
ENSG00000116990	MYCL
ENSG00000117118	SDHB
ENSG00000117400	MPL
ENSG00000117713	ARID1A
ENSG00000118046	STK11
ENSG00000118058	KMT2A
ENSG00000118260	CREB1
ENSG00000118503	TNFAIP3
ENSG00000118513	MYB
ENSG00000118689	FOXO3
ENSG00000118971	CCND2
ENSG00000119335	SET
ENSG00000119397	CNTRL
ENSG00000119508	NR4A3
ENSG00000119535	CSF3R
ENSG00000119537	KDSR
ENSG00000119772	DNMT3A
ENSG00000119866	BCL11A
ENSG00000120217	CD274
ENSG00000120457	KCNJ5
ENSG00000121741	ZMYM2
ENSG00000121879	PIK3CA
ENSG00000122025	FLT3
ENSG00000122406	RPL5
ENSG00000122512	PMS2
ENSG00000122566	HNRNPA2B1
ENSG00000122778	KIAA1549
ENSG00000122779	TRIM24
ENSG00000123080	CDKN2C
ENSG00000123268	ATF1
ENSG00000123364	HOXC13
ENSG00000123388	HOXC11
ENSG00000123473	STIL
ENSG00000123983	ACSL3
ENSG00000124145	SDC4
ENSG00000124529	HIST1H4B
ENSG00000124795	DEK
ENSG00000125354	SEPT6
ENSG00000125618	PAX8
ENSG00000125952	MAX
ENSG00000126012	KDM5C
ENSG00000126524	SBDS
ENSG00000126746	ZNF384
ENSG00000126752	SSX1
ENSG00000126777	KTN1
ENSG00000126883	NUP214
ENSG00000126934	MAP2K2
ENSG00000127083	OMD
ENSG00000127152	BCL11B
ENSG00000127616	SMARCA4
ENSG00000127914	AKAP9
ENSG00000127946	HIP1
ENSG00000128052	KDR
ENSG00000128487	SPECC1
ENSG00000128513	POT1
ENSG00000128602	SMO
ENSG00000128656	CHN1
ENSG00000128713	HOXD11
ENSG00000128714	HOXD13
ENSG00000129204	USP6
ENSG00000129514	FOXA1
ENSG00000129993	CBFA2T3
ENSG00000130382	MLLT1
ENSG00000130396	MLLT4
ENSG00000130675	MNX1
ENSG00000130844	ZNF331
ENSG00000131653	TRAF7
ENSG00000131759	RARA
ENSG00000132155	RAF1
ENSG00000132170	PPARG
ENSG00000132475	H3F3B
ENSG00000132781	MUTYH
ENSG00000133392	MYH11
ENSG00000133639	BTG1
ENSG00000133703	KRAS
ENSG00000133895	MEN1
ENSG00000134086	VHL
ENSG00000134250	NOTCH2
ENSG00000134323	MYCN
ENSG00000134352	IL6ST
ENSG00000134371	CDC73
ENSG00000134574	DDB2
ENSG00000134853	PDGFRA
ENSG00000134899	ERCC5
ENSG00000134982	APC
ENSG00000135100	HNF1A
ENSG00000135363	LMO2
ENSG00000135446	CDK4
ENSG00000135679	MDM2
ENSG00000135903	PAX3
ENSG00000136167	LCP1
ENSG00000136238	RAC1
ENSG00000136352	NKX2-1
ENSG00000136492	BRIP1
ENSG00000136754	ABI1
ENSG00000136826	KLF4
ENSG00000136936	XPA
ENSG00000136997	MYC
ENSG00000137193	PIM1
ENSG00000137265	IRF4
ENSG00000137309	HMGA1
ENSG00000137497	NUMA1
ENSG00000137812	CASC5
ENSG00000138081	FBXO11
ENSG00000138293	NCOA4
ENSG00000138336	TET1
ENSG00000138363	ATIC
ENSG00000138413	IDH1
ENSG00000138698	RAP1GDS1
ENSG00000139083	ETV6
ENSG00000139263	LRIG3
ENSG00000139618	BRCA2
ENSG00000139687	RB1
ENSG00000140262	TCF12
ENSG00000140396	NCOA2
ENSG00000140464	PML
ENSG00000140538	NTRK3
ENSG00000140577	CRTC3
ENSG00000140937	CDH11
ENSG00000141367	CLTC
ENSG00000141380	SS18
ENSG00000141510	TP53
ENSG00000141646	SMAD4
ENSG00000141736	ERBB2
ENSG00000141867	BRD4
ENSG00000141985	SH3GL1
ENSG00000142208	AKT1
ENSG00000142273	CBLC
ENSG00000142611	PRDM16
ENSG00000142867	BCL10
ENSG00000143252	SDHC
ENSG00000143294	PRCC
ENSG00000143322	ABL2
ENSG00000143437	ARNT
ENSG00000143549	TPM3
ENSG00000143924	EML4
ENSG00000144218	AFF3
ENSG00000144476	ACKR3
ENSG00000144554	FANCD2
ENSG00000145012	LPP
ENSG00000145216	FIP1L1
ENSG00000145675	PIK3R1
ENSG00000145819	ARHGAP26
ENSG00000146648	EGFR
ENSG00000147050	KDM6A
ENSG00000147065	MSN
ENSG00000147140	NONO
ENSG00000147257	GPC3
ENSG00000147403	RPL10
ENSG00000147548	WHSC1L1
ENSG00000147862	NFIB
ENSG00000147889	CDKN2A
ENSG00000148400	NOTCH1
ENSG00000148737	TCF7L2
ENSG00000149311	ATM
ENSG00000149948	HMGA2
ENSG00000150907	FOXO1
ENSG00000151348	EXT2
ENSG00000151532	VTI1A
ENSG00000151702	FLI1
ENSG00000152217	SETBP1
ENSG00000153814	JAZF1
ENSG00000153944	MSI2
ENSG00000154767	XPC
ENSG00000154803	FLCN
ENSG00000156052	GNAQ
ENSG00000156076	WIF1
ENSG00000156531	PHF6
ENSG00000156650	KAT6B
ENSG00000156970	BUB1B
ENSG00000156976	EIF4A2
ENSG00000157388	CACNA1D
ENSG00000157404	KIT
ENSG00000157554	ERG
ENSG00000157613	CREB3L1
ENSG00000157764	BRAF
ENSG00000157765	SLC34A2
ENSG00000157873	TNFRSF14
ENSG00000157950	SSX2B
ENSG00000158169	FANCC
ENSG00000158406	HIST1H4H
ENSG00000158711	ELK4
ENSG00000158715	SLC45A3
ENSG00000159216	RUNX1
ENSG00000160201	U2AF1
ENSG00000160271	RALGDS
ENSG00000160613	PCSK7
ENSG00000160957	RECQL4
ENSG00000161547	SRSF2
ENSG00000162367	TAL1
ENSG00000162434	JAK1
ENSG00000162613	FUBP1
ENSG00000162775	RBM15
ENSG00000162924	REL
ENSG00000163026	C2orf44
ENSG00000163041	H3F3A
ENSG00000163161	ERCC3
ENSG00000163399	ATP1A1
ENSG00000163497	FEV
ENSG00000163518	FCRL4
ENSG00000163655	GMPS
ENSG00000163902	RPN1
ENSG00000163930	BAP1
ENSG00000163939	PBRM1
ENSG00000164330	EBF1
ENSG00000164362	TERT
ENSG00000164398	ACSL6
ENSG00000164438	TLX3
ENSG00000164683	HEY1
ENSG00000164754	RAD21
ENSG00000164919	COX6C
ENSG00000164985	PSIP1
ENSG00000165025	SYK
ENSG00000165392	WRN
ENSG00000165409	TSHR
ENSG00000165556	CDX2
ENSG00000165671	NSD1
ENSG00000165699	TSC1
ENSG00000165731	RET
ENSG00000166407	LMO1
ENSG00000167258	CDK12
ENSG00000167460	TPM4
ENSG00000167548	KMT2D
ENSG00000167751	KLK2
ENSG00000167985	SDHAF2
ENSG00000168036	CTNNB1
ENSG00000168092	PAFAH1B2
ENSG00000168172	HOOK3
ENSG00000168421	RHOH
ENSG00000168610	STAT3
ENSG00000168685	IL7R
ENSG00000168769	TET2
ENSG00000169032	MAP2K1
ENSG00000169184	MN1
ENSG00000169249	ZRSR2
ENSG00000169696	ASPSCR1
ENSG00000169714	CNBP
ENSG00000169925	BRD3
ENSG00000170759	KIF5B
ENSG00000170791	CHCHD7
ENSG00000171094	ALK
ENSG00000171302	CANT1
ENSG00000171456	ASXL1
ENSG00000171723	GPHN
ENSG00000171735	CAMTA1
ENSG00000171791	BCL2
ENSG00000171843	MLLT3
ENSG00000171862	PTEN
ENSG00000172175	MALT1
ENSG00000172409	CLP1
ENSG00000172493	AFF1
ENSG00000172660	TAF15
ENSG00000172936	MYD88
ENSG00000173757	STAT5B
ENSG00000173821	RNF213
ENSG00000174775	HRAS
ENSG00000175197	DDIT3
ENSG00000175595	ERCC4
ENSG00000175643	RMI2
ENSG00000175832	ETV4
ENSG00000177565	TBL1XR1
ENSG00000177606	JUN
ENSG00000178053	MLF1
ENSG00000178104	PDE4DIP
ENSG00000178105	DDX10
ENSG00000178573	MAF
ENSG00000178691	SUZ12
ENSG00000179094	PER1
ENSG00000179218	CALR
ENSG00000179295	PTPN11
ENSG00000179348	GATA2
ENSG00000179362	HMGN2P46
ENSG00000179583	CIITA
ENSG00000180644	PRF1
ENSG00000181163	NPM1
ENSG00000181449	SOX2
ENSG00000181555	SETD2
ENSG00000181690	PLAG1
ENSG00000182054	IDH2
ENSG00000182158	CREB3L2
ENSG00000182162	P2RY8
ENSG00000182185	RAD51B
ENSG00000182197	EXT1
ENSG00000182217	HIST2H4B
ENSG00000182866	LCK
ENSG00000182944	EWSR1
ENSG00000183161	FANCF
ENSG00000183337	BCOR
ENSG00000183508	FAM46C
ENSG00000183722	LHFP
ENSG00000183765	CHEK2
ENSG00000183770	FOXL2
ENSG00000183941	HIST2H4A
ENSG00000184012	TMPRSS2
ENSG00000184384	MAML2
ENSG00000184402	SS18L1
ENSG00000184481	FOXO4
ENSG00000184507	NUTM1
ENSG00000184634	MED12
ENSG00000184640	SEPT9
ENSG00000184675	AMER1
ENSG00000184702	SEPT5
ENSG00000184923	NUTM2A
ENSG00000184937	WT1
ENSG00000185338	SOCS1
ENSG00000185499	MUC1
ENSG00000185630	PBX1
ENSG00000185811	IKZF1
ENSG00000185920	PTCH1
ENSG00000186051	TAL2
ENSG00000186575	NF2
ENSG00000186716	BCR
ENSG00000187098	MITF
ENSG00000187239	FNBP1
ENSG00000187621	TCL6
ENSG00000187735	TCEA1
ENSG00000187741	FANCA
ENSG00000188199	NUTM2B
ENSG00000188987	HIST1H4D
ENSG00000189079	ARID2
ENSG00000189283	FHIT
ENSG00000196092	PAX5
ENSG00000196176	HIST1H4A
ENSG00000196220	SRGAP3
ENSG00000196367	TRRAP
ENSG00000196531	NACA
ENSG00000196588	MKL1
ENSG00000196712	NF1
ENSG00000196914	ARHGEF12
ENSG00000197061	HIST1H4C
ENSG00000197238	HIST1H4J
ENSG00000197299	BLM
ENSG00000197323	TRIM33
ENSG00000197646	PDCD1LG2
ENSG00000197837	HIST4H4
ENSG00000197914	HIST1H4K
ENSG00000198286	CARD11
ENSG00000198327	HIST1H4F
ENSG00000198339	HIST1H4I
ENSG00000198400	NTRK1
ENSG00000198518	HIST1H4E
ENSG00000198558	HIST1H4L
ENSG00000198625	MDM4
ENSG00000198795	ZNF521
ENSG00000198900	TOP1
ENSG00000198946	SSX4B
ENSG00000203734	ECT2L
ENSG00000204103	MAFB
ENSG00000204209	DAXX
ENSG00000204370	SDHD
ENSG00000204531	POU5F1
ENSG00000204645	SSX4
ENSG00000204713	TRIM27
ENSG00000204764	RANBP17
ENSG00000205755	CRLF2
ENSG00000205927	OLIG2
ENSG00000206206	DAXX
ENSG00000206279	DAXX
ENSG00000206454	POU5F1
ENSG00000213066	FGFR1OP
ENSG00000213190	MLLT11
ENSG00000213281	NRAS
ENSG00000213672	NCKIPSD
ENSG00000214827	MTCP1
ENSG00000215641	TRIM27
ENSG00000221829	FANCG
ENSG00000227046	DAXX
ENSG00000229006	TRIM27
ENSG00000229094	POU5F1
ENSG00000229396	DAXX
ENSG00000230336	POU5F1
ENSG00000231617	DAXX
ENSG00000233911	POU5F1
ENSG00000233948	TRIM27
ENSG00000234495	TRIM27
ENSG00000235068	POU5F1
ENSG00000236548	RP11-510H23.1
ENSG00000237071	TRIM27
ENSG00000237462	TRIM27
ENSG00000237582	POU5F1
ENSG00000241476	SSX2
ENSG00000244405	ETV5
ENSG00000245848	CEBPA
ENSG00000251562	MALAT1
ENSG00000256591	RP11-286N22.8
ENSG00000258389	DUX4
ENSG00000258697	DUX4L6
ENSG00000258755	DUX4L7
ENSG00000259034	DUX4L3
ENSG00000259063	DUX4L5
ENSG00000259128	DUX4L2
ENSG00000260129	DUX4L3
ENSG00000260155	DUX4L7
ENSG00000260376	DUX4L5
ENSG00000260596	DUX4
ENSG00000261023	TRRAP
ENSG00000261201	DUX4L2
ENSG00000261652	C15orf65
ENSG00000261755	DUX4L6
ENSG00000261784	DUX4L7
ENSG00000261843	SEPT9
ENSG00000262184	ELN
ENSG00000262369	CNOT3
ENSG00000262418	PTPRC
ENSG00000262683	FHIT
ENSG00000263077	DDX5
ENSG00000263148	ATP2B3
ENSG00000263334	HIP1
ENSG00000264708	PDE4DIP
ENSG00000266095	BCL9
ENSG00000266412	NCOA4
ENSG00000266766	AL512503.1
ENSG00000267841	GATA1
ENSG00000267864	SSX2
ENSG00000267910	KMT2A
ENSG00000267912	WAS
ENSG00000268009	SSX4
ENSG00000268447	SSX2
ENSG00000268546	SSX1
ENSG00000268700	MTCP1
ENSG00000268946	ATRX
ENSG00000268963	RPL10
ENSG00000269216	CLTCL1
ENSG00000269612	DDX6
ENSG00000269748	TFE3
ENSG00000269791	SSX4
ENSG00000269816	KDM5C
ENSG00000270262	CNOT3
ENSG00000270276	HIST1H4A
ENSG00000270647	TAF15
ENSG00000270882	HIST1H4A
ENSG00000271203	TFPT
ENSG00000272560	TFPT
ENSG00000272680	TFPT
ENSG00000272722	TFPT
ENSG00000272883	CNOT3
ENSG00000272985	CD79A
ENSG00000273031	TFPT
ENSG00000273037	TFPT
ENSG00000273159	CNOT3
ENSG00000273202	CNOT3
ENSG00000273223	CNOT3
ENSG00000273273	CNOT3
ENSG00000273417	TFPT
ENSG00000273430	TFPT
ENSG00000273458	TFPT
ENSG00000273459	CNOT3
